Key,Unique Custodians,Match
1,ABN AMRO BANK,ABN AMRO Bank
2,ABN AMRO CLEARING CHICAGO LLC,ABN AMRO Bank
3,ADVANTAGE FUTURES LLC,Advantage Futures
4,"ALBERT FRIED & COMPANY, LLC",Albert Fried & Company
5,ALIANZA FIDUCIARIA,Alianza Fiduciaria
6,ALTREE CUSTODY SERVICE LTD,Altree Custody Services
7,ALTREE CUSTODY SERVICES LTD,Altree Custody Services
8,ALTREE CUSTODY SERVICES LTD.,Altree Custody Services
9,"AMERICAN STOCK TRANSFER & TRUST CO., LLC",American Stock Transfer & Trust Company
10,"AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",American Stock Transfer & Trust Company
11,ANALYTICA,Analytica
12,APEX FUND SERVICES (MAURITIUS) LIMITED,Apex Fund Services
13,AUERBACH GRAYSON & COMPANY LLC,Auerbach Grayson and Company
14,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,Australia and New Zealand Banking Group
15,BANCO BM&FBOVESPA,BM&FBOVESPA
16,BANCO BRADESCO S.A.,Banco Bradesco
17,BANCO BTG PACTUAL S.A.,BTG Pactual
18,BANCO DE CHILE,Banco de Chile
19,BANCO ITAU S.A.,Banco Itau
20,BANCO ITAU S/A,Banco Itau
21,BANCO PAULISTA S.A.,Banco Paulista
22,BANCO SANTANDER,Banco Santander
23,"BANCO SANTANDER (M€XICO), S.A.",Banco Santander
24,BANCO SANTANDER (SUISSE) S.A.,Banco Santander
25,"BANCO SANTANDER (SUISSE), S.A.",Banco Santander
26,BANK OF AMERICA,Bank of America Merrill Lynch
27,BANK OF AMERICA CORP,Bank of America Merrill Lynch
28,BANK OF AMERICA CORPORATION,Bank of America Merrill Lynch
29,BANK OF AMERICA CUSTODIAL SERVICES (IRELAND) LIMITED,Bank of America Merrill Lynch
30,BANK OF AMERICA MERRILL LYNCH,Bank of America Merrill Lynch
31,BANK OF AMERICA MERRILL LYNCH INTERNATIONAL LIMITED,Bank of America Merrill Lynch
32,BANK OF AMERICA MERRILL LYNCH INTERNATIONAL LTD,Bank of America Merrill Lynch
33,BANK OF AMERICA N.A.,Bank of America Merrill Lynch
34,BANK OF AMERICA NA,Bank of America Merrill Lynch
35,BANK OF AMERICA NT & SA,Bank of America Merrill Lynch
36,BANK OF AMERICA SECURITIES LLC,Bank of America Merrill Lynch
37,"BANK OF AMERICA, N.A.",Bank of America Merrill Lynch
38,"BANK OF AMERICA, NA",Bank of America Merrill Lynch
39,"BANK OF AMERICA, NATIONAL ASSOCIATION",Bank of America Merrill Lynch
40,"BANK OF AMERICA, NATIONAL ASSOCIATION AKA BANK OF AMERICA, N.A.",Bank of America Merrill Lynch
41,"BANK OF AMERICA, NATIONAL ASSOCIATION AKA BANK OF AMERICA, NA",Bank of America Merrill Lynch
42,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",Bank of America Merrill Lynch
43,BANK OF IRELAND,Bank of Ireland
44,"BANK OF JORDAN, PLC",Bank of Jordan
45,BANK OF NEW YORK,BNY Mellon
46,BANK OF NEW YORK MELLON,BNY Mellon
47,BANK OF NEW YORK MELLON (DOMESTIC),BNY Mellon
48,BANK OF NEW YORK MELLON CORPORATION,BNY Mellon
49,BANK OF NEW YORK MELLON SA/NV,BNY Mellon
50,BANK OF NEW YORK MELLON TRUST COMPANY,BNY Mellon
51,"BANK OF NEW YORK MELLON, N.A.",BNY Mellon
52,"BANK OF NEW YORK MELLON, THROUGH ITS AGENT AND SUBSIDIARY CHARLES FREDERIC & CO.",BNY Mellon
53,BANK OF VALLETTA,Bank of Valletta
54,BARCLAYS BANK MAURITIUS LIMITED,Barclays
55,BARCLAYS BANK PLC,Barclays
56,BARCLAYS BANK PLC - LONDON BRANCH,Barclays
57,BARCLAYS BANK PLC - NEW YORK BRANCH,Barclays
58,"BARCLAYS BANK PLC, NEW YORK",Barclays
59,"BARCLAYS BANK PLC, NEW YORK BRANCH",Barclays
60,"BARCLAYS BANK PLC, NY",Barclays
61,"BARCLAYS BANK, PLC",Barclays
62,BARCLAYS CAPITAL,Barclays
63,BARCLAYS CAPITAL INC.,Barclays
64,BARCLAYS CAPITAL SECURITIES LIMITED,Barclays
65,BARCLAYS CAPITAL SECURITIES LTD.,Barclays
66,BB&T,BB&T
67,"BB&T SECURITIES, LLC",BB&T
68,BBVA BANCOMER S.A.,BBVA Bancomer
69,BDSEC,BDSec
70,BDSEC JSC.,BDSec
71,BGL BNP PARIBAS SOCI€T€ ANONYME,BNP Paribas
72,"BLACKROCK ADVISORS, LLC",BlackRock Advisors
73,"BLACKROCK INVESTMENTS, LLC",BlackRock Advisors
74,"BMA SECURITIES, LLC",BMA Securities
75,BMO HARRIS,BMO Harris Bank
76,BMO HARRIS BANK,BMO Harris Bank
77,BMO HARRIS BANK N. A.,BMO Harris Bank
78,BMO HARRIS BANK N.A,BMO Harris Bank
79,BMO HARRIS BANK N.A.,BMO Harris Bank
80,BMO HARRIS BANK NA,BMO Harris Bank
81,BMO HARRIS BANK NA.,BMO Harris Bank
82,"BMO HARRIS BANK, N.A",BMO Harris Bank
83,"BMO HARRIS BANK, N.A.",BMO Harris Bank
84,"BMO HARRIS BANK, NA",BMO Harris Bank
85,"BMO HARRIS FINANCIAL ADVISORS, INC.",BMO Harris Bank
86,"BMO HARRIS, N.A.",BMO Harris Bank
87,BMO NESBITT BURNS,BMO Nesbitt Burns
88,BMO NESBITT BURNS INC.,BMO Nesbitt Burns
89,BNP PARIBAS,BNP Paribas
90,BNP PARIBAS - LONDON BRANCH,BNP Paribas
91,BNP PARIBAS ACTING THROUGH ITS NEW YORK BRANCH,BNP Paribas
92,BNP PARIBAS BANK & TRUST CAYMAN LIMITED,BNP Paribas
93,"BNP PARIBAS ESPA‹A, S.A.",BNP Paribas
94,BNP PARIBAS LONDON BRANCH,BNP Paribas
95,BNP PARIBAS PRIME BROKERAGE INC,BNP Paribas
96,"BNP PARIBAS PRIME BROKERAGE INTERNATIONAL, LTD",BNP Paribas
97,"BNP PARIBAS PRIME BROKERAGE, INC.",BNP Paribas
98,BNP PARIBAS SA LONDON BRANCH,BNP Paribas
99,BNP PARIBAS SALONDON BRANCH,BNP Paribas
100,BNP PARIBAS SECURITIES CORP.,BNP Paribas
101,BNP PARIBAS SECURITIES SERVICES DUBLIN BRANCH,BNP Paribas
102,BNP PARIBAS SECURITIES SERVICES IRELAND LIMITED,BNP Paribas
103,BNP PARIBAS USA,BNP Paribas
104,"BNP PARIBAS, NEW YORK BRANCH",BNP Paribas
105,BNY MELLON,BNY Mellon
106,BNY MELLON ALTERNATIVE INVESTMENT SERVICES,BNY Mellon
107,BNY MELLON ASSET SERVICING,BNY Mellon
108,BNY MELLON CAPITAL MARKETS LLC,BNY Mellon
109,"BNY MELLON CAPITAL MARKETS, LLC",BNY Mellon
110,BNY MELLON INVESTMENT SERVICING (US) INC.,BNY Mellon
111,BNY MELLON NA,BNY Mellon
