Unique Custodians,Match
ABN AMRO BANK,ABN AMRO Bank
ABN AMRO CLEARING CHICAGO LLC,ABN AMRO Bank
ADVANTAGE FUTURES LLC,Advantage Futures
"ALBERT FRIED & COMPANY, LLC",Albert Fried & Company
ALIANZA FIDUCIARIA,Alianza Fiduciaria
ALTREE CUSTODY SERVICE LTD,Altree Custody Services
ALTREE CUSTODY SERVICES LTD,Altree Custody Services
ALTREE CUSTODY SERVICES LTD.,Altree Custody Services
"AMERICAN STOCK TRANSFER & TRUST CO., LLC",American Stock Transfer & Trust Company
"AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",American Stock Transfer & Trust Company
ANALYTICA,Analytica
APEX FUND SERVICES (MAURITIUS) LIMITED,Apex Fund Services
AUERBACH GRAYSON & COMPANY LLC,Auerbach Grayson and Company
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,Australia and New Zealand Banking Group
BANCO BM&FBOVESPA,BM&FBOVESPA
BANCO BRADESCO S.A.,Banco Bradesco
BANCO BTG PACTUAL S.A.,BTG Pactual
BANCO DE CHILE,Banco de Chile
BANCO ITAU S.A.,Banco Itau
BANCO ITAU S/A,Banco Itau
BANCO PAULISTA S.A.,Banco Paulista
BANCO SANTANDER,Banco Santander
"BANCO SANTANDER (MÉXICO), S.A.",Banco Santander
BANCO SANTANDER (SUISSE) S.A.,Banco Santander
"BANCO SANTANDER (SUISSE), S.A.",Banco Santander
BANK OF AMERICA,Bank of America Merrill Lynch
BANK OF AMERICA CORP,Bank of America Merrill Lynch
BANK OF AMERICA CORPORATION,Bank of America Merrill Lynch
BANK OF AMERICA CUSTODIAL SERVICES (IRELAND) LIMITED,Bank of America Merrill Lynch
BANK OF AMERICA MERRILL LYNCH,Bank of America Merrill Lynch
BANK OF AMERICA MERRILL LYNCH,Bank of America Merrill Lynch
BANK OF AMERICA MERRILL LYNCH,Bank of America Merrill Lynch
BANK OF AMERICA MERRILL LYNCH INTERNATIONAL LIMITED,Bank of America Merrill Lynch
