Cluster ID,confidence_score,Match,Key,Unique Custodians,canonical_Key,canonical_Unique Custodians,canonical_Match
0,0.992247,BlackRock Advisors,72,"BLACKROCK ADVISORS, LLC",b'72',"b'BLACKROCK ADVISORS, LLC'",b'BlackRock Advisors'
0,0.992247,BlackRock Advisors,73,"BLACKROCK INVESTMENTS, LLC",b'72',"b'BLACKROCK ADVISORS, LLC'",b'BlackRock Advisors'
1,0.998196,Erste Bank,283,ERSTE BANK,b'283',b'ERSTE BANK',b'Erste Bank'
1,0.998196,Erste Bank,284,ERSTE BANK AD PODGORICA,b'283',b'ERSTE BANK',b'Erste Bank'
2,0.998311,CACEIS Bank,133,CACEIS BANK LUXEMBOURG,b'133',b'CACEIS BANK LUXEMBOURG',b'CACEIS Bank'
2,0.998311,CACEIS Bank,134,CACEIS BANK LUXEMBOURG - DUBLIN BRANCH,b'133',b'CACEIS BANK LUXEMBOURG',b'CACEIS Bank'
3,0.998352041,Interactive Brokers,363,INTERACTIVE BROKERS,b'363',b'INTERACTIVE BROKERS',b'Interactive Brokers'
3,0.995595098,Interactive Brokers,364,INTERACTIVE BROKERS (U.K.) LIMITED,b'363',b'INTERACTIVE BROKERS',b'Interactive Brokers'
3,0.997147073,Interactive Brokers,365,INTERACTIVE BROKERS CORP.,b'363',b'INTERACTIVE BROKERS',b'Interactive Brokers'
3,0.995516102,Interactive Brokers,366,INTERACTIVE BROKERS CORPORATION,b'363',b'INTERACTIVE BROKERS',b'Interactive Brokers'
3,0.995323102,Interactive Brokers,367,"INTERACTIVE BROKERS GROUP, INC.",b'363',b'INTERACTIVE BROKERS',b'Interactive Brokers'
3,0.997470895,Interactive Brokers,368,INTERACTIVE BROKERS LLC,b'363',b'INTERACTIVE BROKERS',b'Interactive Brokers'
3,0.996649901,Interactive Brokers,369,"INTERACTIVE BROKERS, LLC",b'363',b'INTERACTIVE BROKERS',b'Interactive Brokers'
4,0.984950656,Merrill Lynch International,463,MERRIILL LYNCH PROFESSIONAL CLEARING CORP.,b'463',b'MERRILL LYNCH INTERNATIONAL',b'Merrill Lynch International'
4,0.98371371,Merrill Lynch International,464,"MERRILL LYNCH CAPITAL SERVICES, INC.",b'463',b'MERRILL LYNCH INTERNATIONAL',b'Merrill Lynch International'
4,0.984417117,Merrill Lynch International,465,"MERRILL LYNCH FINANCIAL MARKETS, INC",b'463',b'MERRILL LYNCH INTERNATIONAL',b'Merrill Lynch International'
4,0.984499288,Merrill Lynch International,466,"MERRILL LYNCH FINANCIAL MARKETS, INC.",b'463',b'MERRILL LYNCH INTERNATIONAL',b'Merrill Lynch International'
4,0.982263631,Merrill Lynch International,467,MERRILL LYNCH GOVERNMENT SECURITIES INC.,b'463',b'MERRILL LYNCH INTERNATIONAL',b'Merrill Lynch International'
4,0.993236411,Merrill Lynch International,468,MERRILL LYNCH INTERNATIONAL,b'463',b'MERRILL LYNCH INTERNATIONAL',b'Merrill Lynch International'
4,0.991417062,Merrill Lynch International,469,MERRILL LYNCH INTERNATIONAL INC,b'463',b'MERRILL LYNCH INTERNATIONAL',b'Merrill Lynch International'
4,0.985693991,Merrill Lynch International,470,MERRILL LYNCH INTERNATIONAL INC. SEOUL BRANCH,b'463',b'MERRILL LYNCH INTERNATIONAL',b'Merrill Lynch International'
4,0.986139864,Merrill Lynch International,471,MERRILL LYNCH INTERNATIONAL LIMITED,b'463',b'MERRILL LYNCH INTERNATIONAL',b'Merrill Lynch International'
4,0.985928476,Merrill Lynch International,472,MERRILL LYNCH PROFESSIONAL CLEARING CORP,b'463',b'MERRILL LYNCH INTERNATIONAL',b'Merrill Lynch International'
4,0.986290807,Merrill Lynch International,473,MERRILL LYNCH PROFESSIONAL CLEARING CORP.,b'463',b'MERRILL LYNCH INTERNATIONAL',b'Merrill Lynch International'
5,0.980830569,J.P. Morgan,375,J P MORGAN PRIVATE BANK,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.954136524,J.P. Morgan,376,J. ARON & COMPANY,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.978258772,J.P. Morgan,377,J. P. MORGAN PRIVATE BANK,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.987459023,J.P. Morgan,378,"J.P MORGAN CHASE BANK, N.A.",b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.991998004,J.P. Morgan,379,J.P. MORGAN,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.978263011,J.P. Morgan,380,J.P. MORGAN BANK (IRELAND) PLC,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.990784348,J.P. Morgan,381,J.P. MORGAN CHASE,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.986365226,J.P. Morgan,382,J.P. MORGAN CHASE & CO,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.985338687,J.P. Morgan,383,J.P. MORGAN CHASE & CO.,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.987781678,J.P. Morgan,384,J.P. MORGAN CHASE BANK,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.98740965,J.P. Morgan,385,J.P. MORGAN CHASE BANK N.A.,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.986360585,J.P. Morgan,386,J.P. MORGAN CHASE BANK NA,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.987112677,J.P. Morgan,387,"J.P. MORGAN CHASE BANK, N.A.",b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.987190376,J.P. Morgan,388,"J.P. MORGAN CHASE BANK, N.A..",b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.98622844,J.P. Morgan,389,"J.P. MORGAN CHASE BANK, NA",b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.985042343,J.P. Morgan,390,"J.P. MORGAN CHASE, N.A.",b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.987172149,J.P. Morgan,391,"J.P. MORGAN CHASE, NA",b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.980031114,J.P. Morgan,392,J.P. MORGAN CLEARING CORP.,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.980186001,J.P. Morgan,393,J.P. MORGAN PRIVATE BANK,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.978844463,J.P. Morgan,394,J.P. MORGAN SECURITIES INC.,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.977274101,J.P. Morgan,395,J.P. MORGAN SECURITIES LLC,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.977300343,J.P. Morgan,396,J.P. MORGAN SECURITIES PLC,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.978152892,J.P. Morgan,397,"J.P. MORGAN SECURITIES, LLC",b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.995942996,J.P. Morgan,407,JP MORGAN,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.98863133,J.P. Morgan,408,JP MORGAN CCVM SA,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.994286513,J.P. Morgan,409,JP MORGAN CHASE,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.989163912,J.P. Morgan,410,JP MORGAN CHASE & CO,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.988167749,J.P. Morgan,411,JP MORGAN CHASE & CO.,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.990605191,J.P. Morgan,412,JP MORGAN CHASE BANK,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.987426284,J.P. Morgan,413,JP MORGAN CHASE BANK N.A.,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.988494121,J.P. Morgan,414,JP MORGAN CHASE BANK NA,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.986838751,J.P. Morgan,415,JP MORGAN CHASE BANK NEW YORK,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.986817389,J.P. Morgan,416,"JP MORGAN CHASE BANK, N.A.",b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.987442025,J.P. Morgan,417,"JP MORGAN CHASE BANK, NA",b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.989932189,J.P. Morgan,418,"JP MORGAN CHASE BANK, NATIONAL ASSOCIATION",b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.990637745,J.P. Morgan,419,JP MORGAN CHASE N.A,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.979623628,J.P. Morgan,420,JP MORGAN CLEARING CORP,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.979142307,J.P. Morgan,421,JP MORGAN CLEARING CORP.,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.978842416,J.P. Morgan,422,JP MORGAN FUTURES (KOREA) LIMITED,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.973585854,J.P. Morgan,423,JP MORGAN MARKETS LIMITED,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.981534026,J.P. Morgan,424,JP MORGAN SECURITIES,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.982859218,J.P. Morgan,425,JP MORGAN SECURITIES (TAIWAN) LIMITED,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.976972418,J.P. Morgan,426,JP MORGAN SECURITIES LLC,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.977681976,J.P. Morgan,427,JP MORGAN SECURITIES LTD.,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.976948751,J.P. Morgan,428,JP MORGAN SECURITIES PLC,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.976928287,J.P. Morgan,429,"JP MORGAN SECURITIES, LLC",b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.981509767,J.P. Morgan,430,JP MORGAN TRUST COMPANY OF DELAWARE,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.981704178,J.P. Morgan,431,JPMORGAN ASSET MANAGEMENT (EUROPE) S.A R.L.,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.993130796,J.P. Morgan,432,JPMORGAN CHASE,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.985289963,J.P. Morgan,433,JPMORGAN CHASE & CO.,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.988420372,J.P. Morgan,434,JPMORGAN CHASE BANK,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.983978619,J.P. Morgan,435,JPMORGAN CHASE BANK N.A.,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.985795459,J.P. Morgan,436,JPMORGAN CHASE BANK NA,b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.983035888,J.P. Morgan,437,"JPMORGAN CHASE BANK, N.A.",b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.984238628,J.P. Morgan,438,"JPMORGAN CHASE BANK, NA",b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.987406228,J.P. Morgan,439,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.984890903,J.P. Morgan,440,"JPMORGAN CHASE, N.A.",b'417',b'JP MORGAN',b'J.P. Morgan'
5,0.982970815,J.P. Morgan,441,"JPMORGAN CHASE, N.A..",b'417',b'JP MORGAN',b'J.P. Morgan'
6,0.992107719,HSBC,331,HSBC BANK NA USA,b'331',b'HSBC BANK USA NA',b'HSBC'
6,0.995109826,HSBC,336,HSBC BANK USA NA,b'331',b'HSBC BANK USA NA',b'HSBC'
6,0.994514167,HSBC,339,"HSBC BANK USA, NA",b'331',b'HSBC BANK USA NA',b'HSBC'
7,0.998385906,Texas Capital Bank,653,TEXAS CAPITAL BANK,b'653',b'TEXAS CAPITAL BANK',b'Texas Capital Bank'
7,0.997732997,Texas Capital Bank,654,TEXAS CAPITAL BANK N.A.,b'653',b'TEXAS CAPITAL BANK',b'Texas Capital Bank'
7,0.998097161,Texas Capital Bank,655,"TEXAS CAPITAL BANK, N.A.",b'653',b'TEXAS CAPITAL BANK',b'Texas Capital Bank'
7,0.997799416,Texas Capital Bank,656,"TEXAS CAPITAL BANK, NA",b'653',b'TEXAS CAPITAL BANK',b'Texas Capital Bank'
8,0.983401826,Fidelity Investments,286,FIDELITY BROKERAGE SERVICES LLC,b'286',"b'FIDELITY INVESTMENT SERVICES, INC.'",b'Fidelity Investments'
8,0.981367213,Fidelity Investments,287,FIDELITY CAPITAL MARKETS,b'286',"b'FIDELITY INVESTMENT SERVICES, INC.'",b'Fidelity Investments'
8,0.982490463,Fidelity Investments,288,FIDELITY FAMILY OFFICE SERVICES,b'286',"b'FIDELITY INVESTMENT SERVICES, INC.'",b'Fidelity Investments'
8,0.989800419,Fidelity Investments,289,"FIDELITY INVESTMENT SERVICES, INC.",b'286',"b'FIDELITY INVESTMENT SERVICES, INC.'",b'Fidelity Investments'
8,0.985914886,Fidelity Investments,290,"FIDELITY INVESTMENTS (THE BANK OF NEW YORK, MELLON)",b'286',"b'FIDELITY INVESTMENT SERVICES, INC.'",b'Fidelity Investments'
8,0.989070049,Fidelity Investments,291,"FIDELITY INVESTMENTS INSTITUTIONAL SERVICES COMPANY, INC.",b'286',"b'FIDELITY INVESTMENT SERVICES, INC.'",b'Fidelity Investments'
8,0.982834033,Fidelity Investments,292,"FIDELITY INVESTMENTS, INC.",b'286',"b'FIDELITY INVESTMENT SERVICES, INC.'",b'Fidelity Investments'
8,0.987982043,Fidelity Investments,293,FIDELITY PRIME SERVICES,b'286',"b'FIDELITY INVESTMENT SERVICES, INC.'",b'Fidelity Investments'
